"id","sequence","sourceParagraph","sourceUrl","rowType","dateSourceParagraph","dateExpression","dateKind","startYear","startQualifier","endYear","endQualifier","alternativeYears","description","scriptureReferences","publicationReferences","categories","suggestedType"
"jw-dates-calendar-p120","52","p120","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=120","dated","p120","1881","point","1881","exact","","","","Sarah dies (age 127)","Ge 23:1, 2","wcg 15; | it-1 31; | it-2 920; | si 294","death","person-boundary"
"jw-dates-calendar-p121","53","p121","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=121","dated","p121","1878","point","1878","exact","","","","Isaac (age 40) weds Rebekah","","it-1 1217; | it-2 920; | si 294","other","event"
"jw-dates-calendar-p122","54","p122","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=122","dated","p122","1868","point","1868","exact","","","","Shem dies (age 600)","","si 294","death","person-boundary"
"jw-dates-calendar-p123","55","p123","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=123","dated","p123","1858","point","1858","exact","","","","Esau and Jacob born","","wcg 15; | it-1 1218; | si 294","birth","person-boundary"
"jw-dates-calendar-p124","56","p124","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=124","dated","p124","1843","point","1843","exact","","","","Abraham dies (age 175)","","wcg 15; | it-1 31, | 1242; | si 294","death","person-boundary"
"jw-dates-calendar-p125","57","p125","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=125","dated","p125","a. 1843","point","1843","after","","","","Isaac and Rebekah in Gerar, Abimelech protects both","","it-1 24","other","event"
"jw-dates-calendar-p126","58","p126","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=126","dated","p126","1818","point","1818","exact","","","","Esau weds (age 40)","","si 294","other","event"
"jw-dates-calendar-p127","59","p127","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=127","dated","p127","1795","point","1795","exact","","","","Ishmael dies (age 137)","","it-1 1226; | si 294","death","person-boundary"
"jw-dates-calendar-p128","60","p128","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=128","dated","p128","1781","point","1781","exact","","","","Jacob (age 77) flees to Mesopotamia","","it-1 1243; | it-2 726; | si 294","travel","event"
"jw-dates-calendar-p129","61","p129","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=129","dated","p129","c. 1775","point","1775","approximate","","","","Rebekah dies (age c. 125)","","wcg 15","death","person-boundary"
"jw-dates-calendar-p130","62","p130","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=130","dated","p130","1774","point","1774","exact","","","","Jacob (age 84) weds Leah and Rachel","","it-2 1235; | si 294","other","event"
"jw-dates-calendar-p131","63","p131","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=131","dated","p131","c. 1774–c. 1767","range","1774","approximate","1767","approximate","","ten sons born to Jacob","","it-1 30","birth","person-boundary"
"jw-dates-calendar-p132","64","p132","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=132","continuation","p131","c. 1774–c. 1767","range","1774","approximate","1767","approximate","","Leah bears Reuben, Simeon, Levi, Judah","","it-2 123-124, | 240, | 795, | 944","other","event"
"jw-dates-calendar-p133","65","p133","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=133","continuation","p131","c. 1774–c. 1767","range","1774","approximate","1767","approximate","","Bilhah (Rachel’s servant) bears Dan, Naphtali","","it-1 315, | 573; | it-2 469","other","event"
"jw-dates-calendar-p134","66","p134","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=134","continuation","p131","c. 1774–c. 1767","range","1774","approximate","1767","approximate","","Zilpah (Leah’s servant) bears Gad, Asher","","it-1 190, | 876; | it-2 1235","other","event"
"jw-dates-calendar-p135","67","p135","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=135","continuation","p131","c. 1774–c. 1767","range","1774","approximate","1767","approximate","","Leah bears Issachar, Zebulun","","it-1 1234-1235; | it-2 1222","other","event"
"jw-dates-calendar-p136","68","p136","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=136","dated","p136","1767","point","1767","exact","","","","Rachel bears Joseph","","it-2 106; | si 294","other","event"
"jw-dates-calendar-p137","69","p137","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=137","dated","p137","1761","point","1761","exact","","","","Jacob (age 97) departs for Canaan","","it-1 882; | si 294","other","event"
"jw-dates-calendar-p138","70","p138","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=138","dated","p138","c. 1761","point","1761","approximate","","","","Jacob and Laban make covenant","","it-1 882","covenant","event"
"jw-dates-calendar-p139","71","p139","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=139","continuation","p138","c. 1761","point","1761","approximate","","","","Jacob wrestles angel, is named Israel","","si 294","other","event"
"jw-dates-calendar-p140","72","p140","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=140","continuation","p138","c. 1761","point","1761","approximate","","","","Jacob and Esau meet, make peace","","it-1 760, | 1245","other","event"
"jw-dates-calendar-p141","73","p141","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=141","dated","p141","a. 1761","point","1761","after","","","","Rachel bears Benjamin, dies","","it-1 287-288, | 1245-1246; | it-2 726","death","person-boundary"
